eidid,eid_name,path_genus,path_species,path_disease,Geographic_midpoint,Center_min_dist,Avg_Latitude,event_location,zoo_origin,zoo_origin_type,path_type,event_date,event_year,event_decade,filename,wildlife_zoonoses
351,HED_351,Unspecified,Unspecified,Chikungunya fever,,,-3.737582,"South Sumatra,Java, and West Kalimantan (Indonesia)",1,2,virus,1982,1982,1980,HED_351.shp,TRUE
429,HED_429,Unspecified,Unspecified,Unspecified,,,0.791653,southwestern Uganda (Rakai District),1,2,virus,May-96,1996,1990,HED_429.shp,TRUE
470,HED_470,Unspecified,Unspecified,Unspecified,,,2.890069,"Yambuku near the banks of the Ebola river, Zaire (now Dem Rep Congo)",1,2,virus,1-Sep-76,1976,1970,HED_470.shp,TRUE
331,HED_331,Trypanosoma,brucei,Unspecified,,,4.910958,"Sudan (Western Equatoria was Ibbe, in Maridi county)",1,3,protozoa,1997,1997,1990,HED_331.shp,TRUE
329,HED_329,Trypanosoma,brucei,Unspecified,,,5.476222,"Tambura County, Western Equatoria, Sudan",1,3,protozoa,1997,1997,1990,HED_329.shp,TRUE
352,HED_352,Unspecified,Unspecified,Unspecified,,,5.564996,"Tia Forest, cote d'ivoire",1,2,virus,Nov-94,1994,1990,HED_352.shp,TRUE
463,HED_463,Unspecified,Unspecified,Venezuelan Equine Encephalitis,,,11.002978,Venezuela (eastern part of Falcon State),1,3,virus,Apr-95,1995,1990,HED_463.shp,TRUE
234,HED_234,Yersinia,pestis,Unspecified,,,21.714446,"Surat, Gujarat, India",1,2,bacteria,Aug-94,1994,1990,HED_234.shp,TRUE
24,HED_24,Burkholderia,pseudomallei,Melioidosis,,,23.721477,Taiwan,1,3,bacteria,1994,1994,1990,HED_24.shp,TRUE
198,HED_198,Serratia,odorifera,Unspecified,,,27.996169,"Tampa, FL",1,3,bacteria,1987,1987,1980,HED_198.shp,TRUE
181,HED_181,Rickettsia,typhi,Murine (endemic) typhus,,,31.597087,Texas,1,2,rickettsia,1983,1983,1980,HED_181.shp,TRUE
60,HED_60,Escherichia,coli,Enterohemorrhagic Escherichia coli,,,31.947779,"Subiaco, Western Australia",1,3,bacteria,late 1980s,1980,1980,HED_60.shp,TRUE
