eidid,eid_name,path_genus,path_species,path_disease,event_location,zoo_origin,zoo_origin_type,path_type,event_date,event_year,event_decade,filename,wildlife_zoonoses
5,HED_5,Bacillus,anthracis,Anthrax,"Sverdlovsk (now Yekaterinburg), north central Russia",1,3,bacteria,2-Apr-79,1979,1970,HED_5.shp,TRUE
10,HED_10,Bartonella,elizabethae,Endocarditis,"St. Elizabeth's Hospital, Brighton, MA",1,2,bacteria,1986,1986,1980,HED_10.shp,TRUE
18,HED_18,Brucella,melitensis,Unspecified,Malta and Gozo,1,3,bacteria,1995,1995,1990,HED_18.shp,TRUE
20,HED_20,Burkholderia,pseudomallei,Melioidosis,"Dapoli Taluka, Ratnagiri District, Maharashtra state, India",1,3,bacteria,1990,1990,1990,HED_20.shp,TRUE
21,HED_21,Burkholderia,pseudomallei,Melioidosis,"northeastern provinces known as the Isan Region, Thailand",1,3,bacteria,2003ish,2003,2000,HED_21.shp,TRUE
23,HED_23,Burkholderia,pseudomallei,Melioidosis,"<d2>Top End<d3> of the Northern Territory, Australia",1,3,bacteria,1997,1997,1990,HED_23.shp,TRUE
24,HED_24,Burkholderia,pseudomallei,Melioidosis,Taiwan,1,3,bacteria,1994,1994,1990,HED_24.shp,TRUE
26,HED_26,Campylobacter,jejuni,Unspecified,"Zurich, Switzerland",1,3,bacteria,28-Apr-86,1986,1980,HED_26.shp,TRUE
30,HED_30,Clostridium,botulinum,food botulism,"US (alaska, Washington, Oregon, California)",1,2,bacteria,1976,1976,1970,HED_30.shp,TRUE
31,HED_31,Clostridium,botulinum,infant botulism,CA,1,2,bacteria,1976,1976,1970,HED_31.shp,TRUE
37,HED_37,Coxiella,burnetii,"Q fever, endocarditis (chronic)","Germany (rural town (Rollshausen [1996 population: 300]) and in five surrounding towns approximately 0.5<d0>2.0 miles from Rollshausen, in the district of Lohra)",1,3,rickettsia,May-96,1996,1990,HED_37.shp,TRUE
39,HED_39,Coxiella,burnetii,"Q fever, endocarditis (chronic)",Bulgaria,1,3,rickettsia,1990s,1990,1990,HED_39.shp,TRUE
41,HED_41,Ehrlichia,chaffeensis,HME,"Ft. Chaffee, AR",1,3,rickettsia,19-Jul-90,1990,1990,HED_41.shp,TRUE
42,HED_42,Ehrlichia,equi,Unspecified,"Duluth, MN, USA",1,2,rickettsia,1990,1990,1990,HED_42.shp,TRUE
43,HED_43,Ehrlichia,ewingii,Unspecified,"southern MO, USA",1,3,rickettsia,1996,1996,1990,HED_43.shp,TRUE
44,HED_44,Ehrlichia,phagocytophila,HGE,"northwestern WI/MN. Nikki rechecked and suggested we use ""Duluth, MN""",1,2,rickettsia,13-Jun-90,1990,1990,HED_44.shp,TRUE
53,HED_53,Escherichia,coli,Hemorrhagic colitis; hemolytic uremic syndrome,CA,1,3,bacteria,1975,1975,1970,HED_53.shp,TRUE
54,HED_54,Escherichia,coli,Enterohemorrhagic Escherichia coli,"Lombardia region, Italy",1,3,bacteria,20-Apr-92,1992,1990,HED_54.shp,TRUE
56,HED_56,Escherichia,coli,Enterohemorrhagic Escherichia coli,GA,1,3,bacteria,1983,1983,1980,HED_56.shp,TRUE
57,HED_57,Escherichia,coli,Enterohemorrhagic Escherichia coli,Michigan,1,3,bacteria,1983,1983,1980,HED_57.shp,TRUE
59,HED_59,Escherichia,coli,Enterohemorrhagic Escherichia coli,"South Dakota, US",1,3,bacteria,1980,1980,1980,HED_59.shp,TRUE
60,HED_60,Escherichia,coli,Enterohemorrhagic Escherichia coli,"Subiaco, Western Australia",1,3,bacteria,late 1980s,1980,1980,HED_60.shp,TRUE
61,HED_61,Escherichia,coli,Enterohemorrhagic Escherichia coli,"Subiaco, Western Australia",1,3,bacteria,late 1980s,1980,1980,HED_61.shp,TRUE
63,HED_63,Escherichia,coli,Enterohemorrhagic Escherichia coli,UK (Oxford),1,3,bacteria,1984,1984,1980,HED_63.shp,TRUE
64,HED_64,Escherichia,coli,Enterohemorrhagic Escherichia coli,UK (Belfast),1,3,bacteria,1984,1984,1980,HED_64.shp,TRUE
65,HED_65,Escherichia,coli,Enterohemorrhagic Escherichia coli,UK (Southampton),1,3,bacteria,1984,1984,1980,HED_65.shp,TRUE
66,HED_66,Escherichia,coli,Enterohemorrhagic Escherichia coli,UK,1,3,bacteria,late 1980s,1980,1980,HED_66.shp,TRUE
67,HED_67,Escherichia,coli,Enterohemorrhagic Escherichia coli,UK,1,3,bacteria,late 1980s,1980,1980,HED_67.shp,TRUE
68,HED_68,Escherichia,coli,Enterohemorrhagic Escherichia coli,UK,1,3,bacteria,late 1980s,1980,1980,HED_68.shp,TRUE
69,HED_69,Escherichia,coli,Enterohemorrhagic Escherichia coli,Japan,1,3,bacteria,1990s,1990,1990,HED_69.shp,TRUE
70,HED_70,Escherichia,coli,Enterohemorrhagic Escherichia coli,"Helena, MT, US",1,3,bacteria,"Feb. 20, 1994",1994,1990,HED_70.shp,TRUE
71,HED_71,Escherichia,coli,Enterohemorrhagic Escherichia coli,"Saarbrucken, Fed. Rep. Germany",1,3,bacteria,1985,1985,1980,HED_71.shp,TRUE
72,HED_72,Escherichia,coli,Enterohemorrhagic Escherichia coli,"Komatsu, Ishikawa Prefecture, Japan",1,3,bacteria,8-Jul-96,1996,1990,HED_72.shp,TRUE
73,HED_73,Escherichia,coli,Enterohemorrhagic Escherichia coli,Peru,1,3,bacteria,1984,1984,1980,HED_73.shp,TRUE
74,HED_74,Escherichia,coli,Enterohemorrhagic Escherichia coli,"Germany (Bavaria, Schleswig-Holstein, North Rhine-Westphalia)",1,3,bacteria,1990s,1990,1990,HED_74.shp,TRUE
